[1027/171034.080:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1027/171034.083:ERROR:crash_report_database_win.cc(457)] unexpected header
[1027/171034.085:ERROR:crash_report_database_win.cc(457)] unexpected header
[1027/171534.081:ERROR:crash_report_database_win.cc(457)] unexpected header
[1027/173034.083:ERROR:crash_report_database_win.cc(457)] unexpected header
[1027/174534.086:ERROR:crash_report_database_win.cc(457)] unexpected header
[1027/180034.088:ERROR:crash_report_database_win.cc(457)] unexpected header
[1027/181534.090:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/003743.583:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/005243.586:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/010743.588:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/012243.591:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/013743.594:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/020058.244:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/021558.247:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/023058.293:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/025219.450:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/032520.530:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/034020.534:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/035520.581:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/054834.015:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/060334.019:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/061834.023:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/063334.134:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/064834.263:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/070334.545:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/071834.897:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/073335.217:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/074835.232:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/080335.260:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/081835.263:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/083335.265:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/084835.273:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/090335.274:ERROR:crash_report_database_win.cc(457)] unexpected header
[1028/091835.277:ERROR:crash_report_database_win.cc(457)] unexpected header
